--------- beginning of main
08-15 09:58:52.411   952  1073 I jarvis_Wallpaper: openWallpaper has system wallpaper
08-15 09:58:52.599  3341  3826 W adbd    : timed out while waiting for FUNCTIONFS_BIND, trying again
08-15 09:58:52.599  3341  3826 I adbd    : UsbFfs: connection terminated: monitor thread finished
08-15 09:58:52.599  3341  3341 I adbd    : UsbFfs: already offline
08-15 09:58:52.599  3341  3341 I adbd    : destroying transport UsbFfs
08-15 09:58:52.599  3341  3341 I adbd    : UsbFfsConnection being destroyed
08-15 09:58:52.636  3341  3345 I adbd    : opening control endpoint /dev/usb-ffs/adb/ep0
08-15 09:58:52.637  3341  3345 I adbd    : UsbFfsConnection constructed
08-15 09:58:52.638  3341  3830 I adbd    : UsbFfs-monitor thread spawned
08-15 09:58:53.638  3341  3830 W adbd    : timed out while waiting for FUNCTIONFS_BIND, trying again
08-15 09:58:53.639  3341  3830 I adbd    : UsbFfs: connection terminated: monitor thread finished
08-15 09:58:53.639  3341  3341 I adbd    : UsbFfs: already offline
08-15 09:58:53.639  3341  3341 I adbd    : destroying transport UsbFfs
08-15 09:58:53.639  3341  3341 I adbd    : UsbFfsConnection being destroyed
08-15 09:58:53.676  3341  3345 I adbd    : opening control endpoint /dev/usb-ffs/adb/ep0
08-15 09:58:53.676  3341  3345 I adbd    : UsbFfsConnection constructed
08-15 09:58:53.677  3341  3831 I adbd    : UsbFfs-monitor thread spawned
08-15 09:58:54.678  3341  3831 W adbd    : timed out while waiting for FUNCTIONFS_BIND, trying again
08-15 09:58:54.679  3341  3831 I adbd    : UsbFfs: connection terminated: monitor thread finished
08-15 09:58:54.679  3341  3341 I adbd    : UsbFfs: already offline
08-15 09:58:54.679  3341  3341 I adbd    : destroying transport UsbFfs
08-15 09:58:54.679  3341  3341 I adbd    : UsbFfsConnection being destroyed
08-15 09:58:54.716  3341  3345 I adbd    : opening control endpoint /dev/usb-ffs/adb/ep0
08-15 09:58:54.717  3341  3345 I adbd    : UsbFfsConnection constructed
08-15 09:58:54.718  3341  3834 I adbd    : UsbFfs-monitor thread spawned
08-15 09:58:55.719  3341  3834 W adbd    : timed out while waiting for FUNCTIONFS_BIND, trying again
08-15 09:58:55.719  3341  3834 I adbd    : UsbFfs: connection terminated: monitor thread finished
08-15 09:58:55.719  3341  3341 I adbd    : UsbFfs: already offline
08-15 09:58:55.719  3341  3341 I adbd    : destroying transport UsbFfs
08-15 09:58:55.719  3341  3341 I adbd    : UsbFfsConnection being destroyed
08-15 09:58:55.751  3341  3345 I adbd    : opening control endpoint /dev/usb-ffs/adb/ep0
08-15 09:58:55.752  3341  3345 I adbd    : UsbFfsConnection constructed
08-15 09:58:55.753  3341  3837 I adbd    : UsbFfs-monitor thread spawned
08-15 09:58:56.754  3341  3837 W adbd    : timed out while waiting for FUNCTIONFS_BIND, trying again
08-15 09:58:56.755  3341  3837 I adbd    : UsbFfs: connection terminated: monitor thread finished
08-15 09:58:56.755  3341  3341 I adbd    : UsbFfs: already offline
08-15 09:58:56.755  3341  3341 I adbd    : destroying transport UsbFfs
08-15 09:58:56.755  3341  3341 I adbd    : UsbFfsConnection being destroyed
08-15 09:58:56.788  3341  3345 I adbd    : opening control endpoint /dev/usb-ffs/adb/ep0
08-15 09:58:56.789  3341  3345 I adbd    : UsbFfsConnection constructed
08-15 09:58:56.790  3341  3838 I adbd    : UsbFfs-monitor thread spawned
--------- beginning of kernel
08-15 09:58:57.692     0     0 W [3 T432   ..] healthd: battery l=100 v=4205 t=0.0 h=2 st=5 chg=a
08-15 09:58:57.680   952   952 E jarvis_action===: android.intent.action.BATTERY_CHANGED
08-15 09:58:57.680  1175  1175 D AJLEpgShortcutFragment: [, , 0]:{Thread:main}battery changed: 100%, isCharing:true, hasBattery:true
08-15 09:58:57.681  1570  1570 E action===: [, , 0]:android.intent.action.BATTERY_CHANGED
08-15 09:58:57.682  1570  1570 E action===: android.intent.action.BATTERY_CHANGED
08-15 09:58:57.790  3341  3838 W adbd    : timed out while waiting for FUNCTIONFS_BIND, trying again
08-15 09:58:57.791  3341  3838 I adbd    : UsbFfs: connection terminated: monitor thread finished
08-15 09:58:57.791  3341  3341 I adbd    : UsbFfs: already offline
08-15 09:58:57.791  3341  3341 I adbd    : destroying transport UsbFfs
08-15 09:58:57.791  3341  3341 I adbd    : UsbFfsConnection being destroyed
08-15 09:58:57.844  3341  3345 I adbd    : opening control endpoint /dev/usb-ffs/adb/ep0
08-15 09:58:57.845  3341  3345 I adbd    : UsbFfsConnection constructed
08-15 09:58:57.846  3341  3843 I adbd    : UsbFfs-monitor thread spawned
08-15 09:58:58.151  3644  3644 E huangx  : [Banner计时] bindData position=8, url=https://staticopen.migu.cn/cmsImgs/order/u/cms/www/202606/05173909gi6z.jpg
08-15 09:58:58.154  3644  3644 E huangx  : [Banner计时] bindData position=9, url=https://staticopen.migu.cn/cmsImgs/order/u/cms/www/202606/05173700j2ot.jpg
08-15 09:58:58.847  3341  3843 W adbd    : timed out while waiting for FUNCTIONFS_BIND, trying again
08-15 09:58:58.848  3341  3843 I adbd    : UsbFfs: connection terminated: monitor thread finished
08-15 09:58:58.848  3341  3341 I adbd    : UsbFfs: already offline
08-15 09:58:58.848  3341  3341 I adbd    : destroying transport UsbFfs
08-15 09:58:58.848  3341  3341 I adbd    : UsbFfsConnection being destroyed
08-15 09:58:58.888  3341  3345 I adbd    : opening control endpoint /dev/usb-ffs/adb/ep0
08-15 09:58:58.889  3341  3345 I adbd    : UsbFfsConnection constructed
08-15 09:58:58.890  3341  3846 I adbd    : UsbFfs-monitor thread spawned
08-15 09:58:59.891  3341  3846 W adbd    : timed out while waiting for FUNCTIONFS_BIND, trying again
08-15 09:58:59.891  3341  3846 I adbd    : UsbFfs: connection terminated: monitor thread finished
08-15 09:58:59.891  3341  3341 I adbd    : UsbFfs: already offline
08-15 09:58:59.891  3341  3341 I adbd    : destroying transport UsbFfs
08-15 09:58:59.891  3341  3341 I adbd    : UsbFfsConnection being destroyed
08-15 09:58:59.934  3341  3345 I adbd    : opening control endpoint /dev/usb-ffs/adb/ep0
08-15 09:58:59.935  3341  3345 I adbd    : UsbFfsConnection constructed
08-15 09:58:59.935  3341  3849 I adbd    : UsbFfs-monitor thread spawned
08-15 09:59:00.936  3341  3849 W adbd    : timed out while waiting for FUNCTIONFS_BIND, trying again
08-15 09:59:00.936  3341  3849 I adbd    : UsbFfs: connection terminated: monitor thread finished
08-15 09:59:00.936  3341  3341 I adbd    : UsbFfs: already offline
08-15 09:59:00.936  3341  3341 I adbd    : destroying transport UsbFfs
08-15 09:59:00.936  3341  3341 I adbd    : UsbFfsConnection being destroyed
08-15 09:59:00.976  3341  3345 I adbd    : opening control endpoint /dev/usb-ffs/adb/ep0
08-15 09:59:00.977  3341  3345 I adbd    : UsbFfsConnection constructed
08-15 09:59:00.978  3341  3852 I adbd    : UsbFfs-monitor thread spawned
08-15 09:59:01.979  3341  3852 W adbd    : timed out while waiting for FUNCTIONFS_BIND, trying again
08-15 09:59:01.979  3341  3852 I adbd    : UsbFfs: connection terminated: monitor thread finished
08-15 09:59:01.979  3341  3341 I adbd    : UsbFfs: already offline
08-15 09:59:01.979  3341  3341 I adbd    : destroying transport UsbFfs
08-15 09:59:01.980  3341  3341 I adbd    : UsbFfsConnection being destroyed
08-15 09:59:02.020  3341  3345 I adbd    : opening control endpoint /dev/usb-ffs/adb/ep0
08-15 09:59:02.021  3341  3345 I adbd    : UsbFfsConnection constructed
08-15 09:59:02.022  3341  3853 I adbd    : UsbFfs-monitor thread spawned
08-15 09:59:02.537   408   476 I netd    : setProcSysNet(4, 2, eth0, retrans_time_ms, 750) <0.22ms>
08-15 09:59:02.538   408   476 I netd    : setProcSysNet(4, 2, eth0, ucast_solicit, 10) <0.11ms>
08-15 09:59:02.539   408   476 I netd    : setProcSysNet(6, 2, eth0, retrans_time_ms, 750) <0.09ms>
08-15 09:59:02.539   408   476 I netd    : setProcSysNet(6, 2, eth0, ucast_solicit, 10) <0.07ms>
08-15 09:59:03.023  3341  3853 W adbd    : timed out while waiting for FUNCTIONFS_BIND, trying again
08-15 09:59:03.023  3341  3853 I adbd    : UsbFfs: connection terminated: monitor thread finished
08-15 09:59:03.023  3341  3341 I adbd    : UsbFfs: already offline
08-15 09:59:03.023  3341  3341 I adbd    : destroying transport UsbFfs
08-15 09:59:03.024  3341  3341 I adbd    : UsbFfsConnection being destroyed
08-15 09:59:03.056  3341  3345 I adbd    : opening control endpoint /dev/usb-ffs/adb/ep0
08-15 09:59:03.057  3341  3345 I adbd    : UsbFfsConnection constructed
08-15 09:59:03.058  3341  3856 I adbd    : UsbFfs-monitor thread spawned
08-15 09:59:04.059  3341  3856 W adbd    : timed out while waiting for FUNCTIONFS_BIND, trying again
08-15 09:59:04.059  3341  3856 I adbd    : UsbFfs: connection terminated: monitor thread finished
08-15 09:59:04.059  3341  3341 I adbd    : UsbFfs: already offline
08-15 09:59:04.059  3341  3341 I adbd    : destroying transport UsbFfs
08-15 09:59:04.059  3341  3341 I adbd    : UsbFfsConnection being destroyed
08-15 09:59:04.104  3341  3345 I adbd    : opening control endpoint /dev/usb-ffs/adb/ep0
08-15 09:59:04.104  3341  3345 I adbd    : UsbFfsConnection constructed
08-15 09:59:04.105  3341  3859 I adbd    : UsbFfs-monitor thread spawned
08-15 09:59:04.151  3644  3644 E huangx  : [Banner计时] bindData position=10, url=https://staticopen.migu.cn/cmsImgs/order/u/cms/www/202605/29174334jp6w.jpg
08-15 09:59:04.154  3644  3644 E huangx  : [Banner计时] bindData position=11, url=https://staticopen.migu.cn/cmsImgs/order/u/cms/www/202605/09111933x1pc.jpg
08-15 09:59:04.632     0     0 W [3 T432   ..] healthd: battery l=100 v=4205 t=0.0 h=2 st=5 chg=a
08-15 09:59:05.106  3341  3859 W adbd    : timed out while waiting for FUNCTIONFS_BIND, trying again
08-15 09:59:05.106  3341  3859 I adbd    : UsbFfs: connection terminated: monitor thread finished
08-15 09:59:05.106  3341  3341 I adbd    : UsbFfs: already offline
08-15 09:59:05.106  3341  3341 I adbd    : destroying transport UsbFfs
08-15 09:59:05.106  3341  3341 I adbd    : UsbFfsConnection being destroyed
08-15 09:59:05.152  3341  3345 I adbd    : opening control endpoint /dev/usb-ffs/adb/ep0
08-15 09:59:05.153  3341  3345 I adbd    : UsbFfsConnection constructed
08-15 09:59:05.154  3341  3862 I adbd    : UsbFfs-monitor thread spawned
08-15 09:59:06.154  3341  3862 W adbd    : timed out while waiting for FUNCTIONFS_BIND, trying again
08-15 09:59:06.154  3341  3862 I adbd    : UsbFfs: connection terminated: monitor thread finished
08-15 09:59:06.154  3341  3341 I adbd    : UsbFfs: already offline
08-15 09:59:06.154  3341  3341 I adbd    : destroying transport UsbFfs
08-15 09:59:06.154  3341  3341 I adbd    : UsbFfsConnection being destroyed
08-15 09:59:06.188  3341  3345 I adbd    : opening control endpoint /dev/usb-ffs/adb/ep0
08-15 09:59:06.189  3341  3345 I adbd    : UsbFfsConnection constructed
08-15 09:59:06.189  3341  3863 I adbd    : UsbFfs-monitor thread spawned
08-15 09:59:07.191  3341  3863 W adbd    : timed out while waiting for FUNCTIONFS_BIND, trying again
08-15 09:59:07.191  3341  3863 I adbd    : UsbFfs: connection terminated: monitor thread finished
08-15 09:59:07.191  3341  3341 I adbd    : UsbFfs: already offline
08-15 09:59:07.191  3341  3341 I adbd    : destroying transport UsbFfs
08-15 09:59:07.191  3341  3341 I adbd    : UsbFfsConnection being destroyed
08-15 09:59:07.236  3341  3345 I adbd    : opening control endpoint /dev/usb-ffs/adb/ep0
08-15 09:59:07.236  3341  3345 I adbd    : UsbFfsConnection constructed
08-15 09:59:07.237  3341  3866 I adbd    : UsbFfs-monitor thread spawned
08-15 09:59:08.086  1595  2064 D libovd  : [2026-08-15 09:59:08.086] [debug] [2064] [DME] DME_internal.c:1104 DME_backoff_algorithm backoff_result resum: 28
08-15 09:59:08.237  3341  3866 W adbd    : timed out while waiting for FUNCTIONFS_BIND, trying again
08-15 09:59:08.238  3341  3866 I adbd    : UsbFfs: connection terminated: monitor thread finished
08-15 09:59:08.238  3341  3341 I adbd    : UsbFfs: already offline
08-15 09:59:08.238  3341  3341 I adbd    : destroying transport UsbFfs
08-15 09:59:08.238  3341  3341 I adbd    : UsbFfsConnection being destroyed
08-15 09:59:08.272  3341  3345 I adbd    : opening control endpoint /dev/usb-ffs/adb/ep0
08-15 09:59:08.273  3341  3345 I adbd    : UsbFfsConnection constructed
08-15 09:59:08.274  3341  3869 I adbd    : UsbFfs-monitor thread spawned
08-15 09:59:08.481  1595  2064 D libovd  : [2026-08-15 09:59:08.480] [debug] [2064] [DME] DME_main.c:649 DME_make_capinfo_hash data:{"device_type":0,"auto_reboot":true,"stream_encryption_mode":"NULL","media_protocol":"srt","talk_protocol":"ccrtc","replay_protocol":"srt","cloud_record":true,"netprobe_cap":1,"ivrs":true,"pic_upload_https":true,"log_upload_https":true,"firmware_download_https":true,"support_softprobe":false,"video_encrypt":false,"support_extension":"","camera_lens_type":0,"light_supplement_lamp":false,"support_4G":false,"battery":false,"screen":true,"smoke_sensor":false,"robot_housekeeper":0,"ptz":false,"trace":false,"support_ptz_preset":false,"zoomcontrol":false,"focuscontrol":false,"channel":0,"timed_dormancy":false,"switch":false,"SD":false,"led":false,"AIGC_cloud_record":false,"support_DN_mode":false,"playback_speed":0,"support_get_SDcapacity":false,"multi_stream":false,"support_set_video_formats":false,"support_set_bitrate":false,"support_set_framerate":false,"support_set_gop":false,"osd_text":false,"osd_logo":false,"support_set_AI_rules_mode":false,"video_quality":"sd,hd","video_formats_supportlists":"h264","static_scence_ABR":false,"audio_out":false,"voice_out":true,"voiceout_volume":false,"audiosamplerate":0,"alarms":{"io":false,"cry":false,"voice":false,"alarm_voice_detect_stand":0,"motion":true,"alarm_motion_detect_stand":0,"motion_zone":0,"body":false,"body_zone":0,"cross":false,"pir":false,"pir_staymode":false,"lossLock":false,"alertarea":false,"alertarea_expel":false,"alertarea_zone":0,"alertarea_params":{"support_set_target":0,"support_staymode_time":false,"support_set_alerttime":false,"alertarea_zone":0,"alertarea_num":1},"transgression":false,"transgression_params":{"support_set_target":0,"support_set_alerttime":false,"support_set_statistics_line":false}},"stopalarm":false,"linkage_mode":{"alertarea":"","vehicle_detection":"","nonmotorvehicle_detection":"","mask_detection":"","regional_people_statistics_detection":"","transgression":"","helmet_wearing_detection":""},"dashcam":false,"robot_ctrl":"","AI":{"face":false,"kitchen
